ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
68JRsR0O5ynf8xhu2jk2no,eqd,6,1974,,2007,2023,10,2,1444.0
5VvZ6Br2O5ffnhkZt2HE8Q,チキンガーリックステーキ,3,140,,2004,2010,12,2,231.0
2P3aLwJ41aRYkyFFw2FRM7,sam concepcion,45,168497,opm,2007,2023,20,1,583900.0
3ZzXi1Y1BvnvKJSVvzU2iP,vibemares,0,151,,1996,1997,2,5,101.0
2ZC9B5qSrV48WOrOujZkNC,lantinor,0,1,,2019,2019,1,12,0.0
5v73cYRfPyVSKMC1KxIt1z,orangutanz,0,3,,2016,2016,1,11,0.0
2FCVB3cfCC0e3O8G7Gs8t6,bleib modern,28,23349,"dark post-punk, modern goth",2014,2024,14,3,40842.0
3ZaPFQ05J5qSM5I3Smbp44,tevvez,58,259154,gym hardstyle,2018,2024,20,1,1521671.0
0sO4BzdBw9Te2vCNgFp9co,swamp terrorists,1,853,,-1,-1,0,0,328.0
6DL8cHjzUa0J8WSH2EWDMX,the cinema,16,10667,,2011,2015,8,1,7776.0
71WUmUmWWaqqGtVP8MlPJb,semi.official,4,1050,"abstract hip hop, minnesota hip hop",2003,2003,1,17,820.0
5aulktvStOCsBlqVpaQYhi,the unlord,1,67,,2015,2016,2,2,506.0
1qZhoXXskWXl37ixt6LXG3,mark levy,11,762,,1992,2006,4,18,4024.0
0MVM5Khj39EkpVtLvU9Ujp,ovsicori,4,316,,2017,2023,8,5,1025.0
4XSBH9wQcPYqC4ROOUoNeC,rychus syn,0,39,,2008,2014,2,10,6.0
55W9eEQHMVGsaEdIehg0VZ,bill cornish,0,33,,2003,2024,12,14,18.0
4arBvODO0HfhOnii0ohTYG,hawk henries,0,45,,-1,-1,0,0,0.0
3rfhiYa1sXuUhLFofH1w1S,marbled,0,6,,2017,2017,1,11,1.0
5ZwF4S1S0iSNycQPEFGJUk,max ehrlich,0,15,,-1,-1,0,0,39.0
38aJccTPkdNbEU7MVQ2n5b,the remus lupins,8,7246,wrock,2007,2009,3,19,1453.0
7wIjZhdbqqCNejPJhktZz6,workbench,4,512,,1998,2008,6,7,573.0
7tBNYcSObC0t3log3q5nQz,the hart brothers,0,9,,2011,2020,3,6,1.0
7AoL3NXROgMCIoE8ATI8tf,duke tumatoe & the power trio,2,391,,1989,2012,2,8,211.0
3jX9HSN89zKvniMbwRCHdh,narrow views,9,713,,2018,2019,2,14,1217.0
2lYOv7lg36OPB2N2JRHJcB,orfeó català,27,1159,,2001,2023,7,1,59714.0
1TuQVlt2pf14yyNcXunZYt,whilst,44,466,,2023,2024,20,1,490442.0
0vHAWbRVMR4fNF1ABEe8D2,leshaun,44,267,,-1,-1,0,0,0.0
3p3KAZ6zqhFkkH5ZdTuS5X,lunachicks,30,63516,"riot grrrl, underground grunge",1990,2016,7,3,40474.0
4oHr5AQDDYYbOMt0poyMzA,stasan,0,25,,2023,2023,3,1,172.0
1ekl5lTa5idAB1Tz04p3Ue,double handsome dragons,0,400,"atmospheric post-rock, british post-rock",2011,2011,1,6,107.0
5HnegZrvKDMaHasCml3Bg0,szymon kaliski,0,308,,2010,2021,3,7,121.0
0rqEnwqRzQItsctPxp1TX0,bodagoat,0,0,,-1,-1,0,0,0.0
1BCUHvti8crTWtc0h0U4W4,hiro kone,19,10890,"mandible, new isolationism, spectra",2011,2021,7,4,13050.0
1rXeUTFf6hcs9XIGUzkL12,barnaby dickinson,0,139,,2017,2021,4,12,71.0
2iCpXbyRRpN1IMRUkuSyGA,capital monkey,28,23908,"progressive psytrance, psychedelic trance, trance brasileiro",2016,2024,20,1,47809.0
1JYo8vxqPyhbdrmBx0UIhh,rauhatäti,3,747,suomirap,2013,2019,7,1,398.0
0wfaKG37RWhCGwLIxsE8RG,david brown,21,184,,2006,2022,20,14,11321.0
18KNmNrXxzKrRyDmyoQU4E,chris atkins,0,65,,1997,2023,10,4,11.0
7MfUAC0RF6iI4jkHEM4AdJ,armando celso,0,8,,-1,-1,0,0,1.0
2DxaqMPTVuqqD3Q4vDBCS7,monovolume,0,20,,2008,2008,1,2,5.0
28Ky95tmlHktB96DBUoB0g,tristam,49,215583,"brostep, complextro, dancefloor dnb, edm, filthstep, gaming edm",2012,2021,20,1,646395.0
7lQJmgdxJyKDhOqQIz3ZgE,peter müller,24,193,,-1,-1,0,0,381.0
0VAEeQib5GwwI9guPHygD2,cauterizer,0,62,,2019,2019,1,4,17.0
09ipK4Q7hodEWu5GNnX0O6,dell graham,0,3,,-1,-1,0,0,2.0
0wwX6lGL0Nwexmp2ht3zmB,mr. freak ska,11,1420,ska catala,2011,2023,8,4,1388.0
2EYhoad5sRP26Tsc8VPDyw,namco keaton,0,33,,2001,2003,2,5,94.0
3RyVfqwQOd0gFnQS0qY8ao,machine men,7,2045,finnish heavy metal,2002,2007,4,5,1314.0
7IJ9Kq1U6g12exRhfS9KwJ,hanna eyre,6,228,,2017,2018,6,1,246.0
7jSMrzjbi1eW3inSN8pJjL,kin vassy,1,39,,-1,-1,0,0,304.0
357MjItPR9emybXtEL1Trf,soft black,1,485,deep indie pop,2007,2020,7,1,251.0
6ep5Qx5bq8TvQISCYarIir,orange zen,0,11,,2020,2020,1,2,10.0
7F5W6Y1Wzlpt8isAzw0J9j,the hi-liters,0,37,,-1,-1,0,0,100.0
6iX29dzUckCCG9CCaRT0m0,autumn ruin,0,706,,2015,2018,7,1,107.0
2hSyEBc9TBb9j38FOCdkIf,aaron dessner,35,9693,,2014,2021,7,1,60491.0
3jHwI3qXHGG9hsldl6mHhM,nevalra,0,728,,2015,2019,4,1,86.0
1N9OI91qxIC0TE69T4MPXS,zacks nkosi,4,807,south african jazz,1991,1991,2,6,291.0
5FE2aubsTTvLXqNUyiDTeN,henry salvia,0,1,,-1,-1,0,0,0.0
65krQIwuMnjUGd5lqugPuC,gwynplaine,0,93,,2022,2023,3,1,11.0
7dvZOxv08kOPCsqyQMwXtZ,the kittiwakes,0,24,traditional english folk,-1,-1,0,0,40.0
2P4lgTcDKqHKAttiTQTNyD,nadide sultan,28,9750,deep turkish pop,1997,2023,8,5,101552.0
